Id,Product_Id,Title,Product_Title,Handle,Product_Description,Publish_Data,Created_Data,Vendor,Product_Type,Product_Price,Shipping,Sku,Product_Position,Image
7108412538950,7108412538950,Red Dot - Summer Weight Stretch Selvedge,Black,red-dot-summer-weight-stretch-selvedge,"<div style=""text-align: left;"">
<meta charset=""utf-8"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">How does the Red Dot work?</b></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Red Dot is open for 48 hours.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">It's £140 to get the Red Dot (Full price is £295).</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">This is how you reserve your fabric.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">2.5 meters of limited edition denim.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">A jean made for you, and only you.</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><span style=""text-decoration: underline;""><strong>There will only be 300 of these jeans made.</strong></span><br></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">What is the fabric?</b></p>
<p class=""p1"">The Summer Weight Stretch Selvedge.</p>
<p class=""p1"">A beautiful denim that fades beautifully.</p>
<p class=""p1"">Available in Indigo or Black.</p>
<p class=""p1"">Traditional 3x1, high density weave.</p>
<p class=""p1"">90% cotton, 10% polyester.</p>
<p class=""p1"">Red line selvedge.</p>
<p class=""p1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">What are the fits?</b></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Mens : Work / Hack / SlimR / V Fit.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Womens : Coda / Eira</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">(Don't worry - you don't need to decide on your fit today.)</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">When do I pay the balance?</b></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">You'll get a follow up email on the 20th of April.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">This will include :</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">A link to pay the balance (£155).</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Choose your fit.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Choose your size.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Wait for the Grandmasters to work their magic.</span></p>
</div>
<ul></ul>",2023-03-31T10:13:29+01:00,2023-03-31T10:07:32+01:00,Hiut Denim,Denim,116.67,False,,2,https://cdn.shopify.com/s/files/1/0065/4242/products/JPBK6_a105ce71-9b03-4896-9dd9-54b438848449.jpg?v=1680253998
7107683057734,7107683057734,Red Dot - Japanese Summer Weight Stretch Selvedge - Black,Default Title,red-dot-japanese-summer-weight-stretch-selvedge-indigo,"<p data-mce-fragment=""1""><b data-mce-fragment=""1"">How does the Red Dot work?</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Red Dot is open for 48 hours.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">It's £140 to get the Red Dot (Full price is £295).</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">This is how you reserve your fabric.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">2.5 meters of limited edition denim.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">A jean made for you, and only you.</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><span style=""text-decoration: underline;""><strong>There will only be 300 of these jeans made.</strong></span><br></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">What is the fabric?</b></p>
<p class=""p1"">The Summer Weight Stretch Selvedge.</p>
<p class=""p1"">A beautiful black that fades beautifully.</p>
<p class=""p1"">Traditional 3x1, high density weave.</p>
<p class=""p1"">90% cotton, 10% polyester.</p>
<p class=""p1"">10.5oz.</p>
<p class=""p1"">Red line selvedge.</p>
<p class=""p1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">What are the fits?</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Mens : Work / Hack / SlimR / V Fit.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Womens : Coda / Eira</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">(Don't worry - you don't need to decide on your fit today.)</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">When do I pay the balance?</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">You'll get a follow up email on the 20th of April.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">This will include :</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">A link to pay the balance (£155).</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Choose your fit.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Choose your size.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Wait for the Grandmasters to work their magic.</span></p>",2023-03-31T09:34:24+01:00,2023-03-29T11:23:55+01:00,Hiut,Other,116.67,False,,1,https://cdn.shopify.com/s/files/1/0065/4242/products/10_stretch-9.jpg?v=1680251332
7107694460998,7107694460998,Red Dot - Japanese Summer Weight Stretch Selvedge - Indigo,Default Title,red-dot-japanese-summer-weight-stretch-selvedge-black,"<p data-mce-fragment=""1""><b data-mce-fragment=""1"">How does the Red Dot work?</b></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Red Dot is open for 48 hours.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">It's £140 to get the Red Dot (Full price is £295).</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">This is how you reserve your fabric.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">2.5 meters of limited edition denim.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">A jean made for you, and only you.</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><span style=""text-decoration: underline;""><strong>There will only be 300 of these jeans made.</strong></span><br></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">What is the fabric?</b></p>
<p class=""p1"">The Summer Weight Stretch Selvedge.</p>
<p class=""p1"">A beautiful dark indigo that fades beautifully.</p>
<p class=""p1"">Traditional 3x1, high density weave.</p>
<p class=""p1"">90% cotton, 10% polyester.</p>
<p class=""p1"">11oz.</p>
<p class=""p1"">Red line selvedge.</p>
<p class=""p1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">What are the fits?</b></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Mens : Work / Hack / SlimR / V Fit.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Womens : Coda / Eira</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">(Don't worry - you don't need to decide on your fit today.)</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">When do I pay the balance?</b></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">You'll get a follow up email on the 20th of April.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">This will include :</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">A link to pay the balance (£155).</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Choose your fit.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Choose your size.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Wait for the Grandmasters to work their magic.</span></p>",2023-03-31T09:31:21+01:00,2023-03-29T13:24:32+01:00,Hiut,Other,116.67,False,,1,https://cdn.shopify.com/s/files/1/0065/4242/products/pp2.jpg?v=1680251527
7105934622790,7105934622790,Italian Selvedge - SlimR - Slim Taper Fit,42 / 34,italian-selvedge-slimr-slim-taper-fit,"<div style=""text-align: left;"">
<meta charset=""utf-8"">
<p style=""text-align: left;""><strong>Fit</strong></p>
<ul style=""text-align: left;"">
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">This is what we have been asked for the most: Can we do a slimmer version of our slim cut? So here it is: The Slim®. </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Mid rise</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Tapered slim leg - We’ve reduced the leg width from knee to hem by 2cm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Authentic 5 pocket jean</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Button fly   </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Hiut Denim branded leather patch   </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Fastened with copper rivets on pockets     </span></li>
<li style=""font-weight: 400;"">
<span style=""font-weight: 400;"">Super tough ecru twill pocket lining</span><span style=""font-weight: 400;"">                 </span>
</li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Signature red owl rivet on left back pocket</span></li>
</ul>
<p style=""text-align: left;""><span style=""text-decoration: underline;""><strong></strong></span>Made in Wales</p>
</div>
<p style=""text-align: left;""><strong> Please note : Tom is wearing The Work fit. To see the SlimR fit, click <a href=""https://hiutdenim.co.uk/collections/mens/products/selvedge-denim-slimr"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</strong></p>
<ul></ul>",2023-03-23T13:01:53+00:00,2023-03-23T09:30:10+00:00,Hiut Denim,Denim,212.50,True,,45,https://cdn.shopify.com/s/files/1/0065/4242/products/0323_CandianiSelvedge_ScreenRes_Figure_7_G.jpg?v=1679576199
7105934295110,7105934295110,Italian Selvedge - The Work@ - Regular Fit,42 / 34,italian-selvedge-the-work-regular-fit,"<div style=""text-align: left;""><strong><span style=""text-decoration: underline;"">Fit</span></strong></div>
<ul style=""text-align: left;"">
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">True classic cut</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Low - Mid rise</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Regular, straight leg</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Authentic 5 pocket jean</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Button fly</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Hiut Denim branded leather patch</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Fastened with copper rivets on pockets</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Super tough ecru twill pocket lining</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Signature red owl rivet on left back pocket</span></li>
</ul>
<p style=""text-align: left;""> <meta charset=""utf-8""><strong data-mce-fragment=""1""> Please note : Tom is wearing The Work fit.</strong></p>",2023-03-23T13:01:52+00:00,2023-03-23T09:29:35+00:00,Hiut Denim,Denim,212.50,True,,45,https://cdn.shopify.com/s/files/1/0065/4242/products/0323_CandianiSelvedge_ScreenRes_Figure_6_G_d26e8792-b00f-413d-81b6-0cbca539ffa1.jpg?v=1679576331
7105934065734,7105934065734,Italian Selvedge - The Hack@ - Slim Fit,42 / 34,italian-selvedge-the-hack-slim-fit,"<div style=""text-align: left;""><strong>Fit</strong></div>
<div style=""text-align: left;"">
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">A classic slim cut</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Mid rise</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Slim but not crazy slim leg. </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Authentic 5 pocket jean</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Button fly </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Hiut Denim branded leather patch </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Fastened with copper rivets on pockets      </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Super tough ecru twill pocket lining</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Signature red owl rivet on left back pocket.</span></li>
</ul>
<p><span style=""font-weight: 400;"">Made in Wales.</span></p>
</div>
<div style=""text-align: left;"">
<span style=""text-decoration: underline;""><strong></strong></span><br>
</div>
<p style=""text-align: left;""> <meta charset=""utf-8""><strong data-mce-fragment=""1""> Please note : Tom is wearing The Work fit. To see the Slim fit, click<span data-mce-fragment=""1""> </span><a href=""https://hiutdenim.co.uk/collections/mens/products/selvedge-denim-hack"" target=""_blank"" rel=""noopener noreferrer"">here</a></strong></p>
<ul></ul>",2023-03-23T13:01:51+00:00,2023-03-23T09:29:20+00:00,Hiut Denim,Denim,212.50,True,,45,https://cdn.shopify.com/s/files/1/0065/4242/products/0323_CandianiSelvedge_ScreenRes_Close_L_G_21fb5734-fdfd-4cfd-adce-2bf9d5aa30a4.jpg?v=1679576394
7105933901894,7105933901894,Italian Selvedge - The V-Fit - Tapered Fit,42 / 34,italian-selvedge-the-v-fit-tapered-fit,"<strong>Fit</strong>
<ul style=""text-align: left;"" data-mce-style=""text-align: left;"">
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">
<span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">A relaxed tapered cut. </span><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">We took our classic regular fitting jean, tapered the leg and added a little extra room in the hips to get the iconic athletic shape. It's perfect for those with a bigger thigh, but prefer a narrower hem.</span>
</li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Mid rise</span></li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Tapered leg</span></li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Authentic 5 pocket jean</span></li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Button fly        </span></li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Hiut Denim branded leather patch    </span></li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Fastened with copper rivets on pockets      </span></li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">
<span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Super tough ecru twill pocket lining</span><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">                                 </span>
</li>
<li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"">Signature owl rivet on left back pocket</span></li>
</ul>
<p><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><strong><meta charset=""utf-8""> Please note : Tom is wearing The Work fit. To see the V-fit, click<span> </span><a href=""https://hiutdenim.co.uk/collections/mens/products/the-v-fit-organic-tapered-fit"" target=""_blank"">here</a>.</strong></span></p>",2023-03-23T13:01:50+00:00,2023-03-23T09:29:05+00:00,Hiut Denim,Denim,212.50,True,,45,https://cdn.shopify.com/s/files/1/0065/4242/products/0323_CandianiSelvedge_ScreenRes_Close_L_G_62687ea4-730d-4edd-94a1-1aca5e0883bf.jpg?v=1679576422
7104051806278,7104051806278,DJB0029 - Regular - W34 L34,1,djb0029-regular-w34-l34,"<meta charset=""utf-8"">
<div>
<p class=""p1""><b>Each Déjà Blue jean is completely unique.</b></p>
<p class=""p1"">We make them. You make them.</p>
<p class=""p1"">These have been shaped by our community and now we are closing the loop and finding them a new home.</p>
<p class=""p1""><strong>Fit :</strong> Regular fit. W34 L34</p>
<p class=""p1""><strong>Fabric : </strong>100% cotton</p>
<p class=""p1""><strong>Short Run October 2019. Limited Edition</strong></p>
<p class=""p1""><meta charset=""utf-8"">Double Black Japanese  Selvedge</p>
</div>",2023-03-17T08:33:15+00:00,2023-03-17T08:30:06+00:00,Hiut Denim,Denim,191.67,True,,1,https://cdn.shopify.com/s/files/1/0065/4242/products/DJB029F.jpg?v=1679041864
7103856869446,7103856869446,DJB0025 - Slim - W34 L30,1,djb0025-skinr-w34-l32,"<meta charset=""utf-8"">
<div>
<p class=""p1""><b>Each Déjà Blue jean is completely unique.</b></p>
<p class=""p1"">We make them. You make them.</p>
<p class=""p1"">These have been shaped by our community and now we are closing the loop and finding them a new home.</p>
<p class=""p1""><strong>Fit :</strong> Slim fit. W34 L30</p>
<p class=""p1""><strong>Fabric : </strong>100% cotton</p>
</div>",2023-03-17T08:33:15+00:00,2023-03-16T16:11:02+00:00,Hiut Denim,Denim,208.33,True,,1,https://cdn.shopify.com/s/files/1/0065/4242/products/DJB025F.jpg?v=1679041662
7103318949958,7103318949958,DJB0028 - VFit - W34 L34,1,djb0028-vfit-w34-l34,"<meta charset=""utf-8"">
<div>
<p class=""p1""><b>Each Déjà Blue jean is completely unique.</b></p>
<p class=""p1"">We make them. You make them.</p>
<p class=""p1"">These have been shaped by our community and now we are closing the loop and finding them a new home.</p>
<p class=""p1""><strong>Fit :</strong> V fit. W34 L34</p>
<p class=""p1""><meta charset=""utf-8""><strong>Fabric : </strong><span>100% cotton. Organic denim from Candiani Denim mill</span></p>
</div>",2023-03-17T08:33:14+00:00,2023-03-15T12:57:39+00:00,Hiut Denim,Denim,100.00,True,,1,https://cdn.shopify.com/s/files/1/0065/4242/products/DJB028F.jpg?v=1679041675
